Neighborhood,Transit Users,Population,Median Income,% Transit Users
Albany Park,8606,51992,58128.20513,16.5525465456224
Archer Heights,988,13142,46632.12435,7.51788160097398
Armour Square,1138,13455,26466.21622,8.45782237086585
Ashburn,2777,43792,66560.12658,6.34134088417976
Auburn Gresham,4388,46278,31694.19134,9.4818272181166
Austin,9761,95260,32843.04285,10.2466932605501
Avalon Park,640,9985,41394.23077,6.40961442163245
Avondale,6124,37368,51702.6749,16.3883536715907
Belmont Cragin,5765,79910,47262.93103,7.21436616193217
Beverly,1897,20822,91903.40909,9.11055614254154
Bridgeport,4026,33637,45670.73171,11.9689627493534
Brighton Park,3575,44813,40513.36898,7.97759578693683
Burnside,214,2254,24940.94488,9.49423247559894
Calumet Heights,1484,13188,49767.65799,11.2526539278132
Chatham,3778,31120,32596.80135,12.1401028277635
Chicago Lawn,4090,53098,33843.62348,7.70273833289389
Clearing,1692,25891,62381.75676,6.53508941330964
Douglas,2688,20781,31906.97674,12.934892449834
Dunning,2246,43689,65947.63092,5.14088214424684
East Garfield Park,2338,19996,23116.16162,11.6923384676935
East Side,1028,23737,43224.40087,4.33079159118675
Edgewater,13696,55965,49287.01181,24.4724381309747
Edison Park,732,11605,99194.21488,6.30762602326583
Englewood,2503,25075,19795.0429,9.98205383848455
Forest Glen,1250,19019,110365.4791,6.57237499342763
Fuller Park,271,2439,23357.14286,11.1111111111111
Gage Park,3086,40873,41138.39286,7.55021652435593
Garfield Ridge,2086,36396,68211.92053,5.73139905484119
Grand Boulevard,2708,22313,31970.13487,12.1364227132165
Greater Grand Crossing,3674,31766,27035.42781,11.5658250960146
Hegewisch,617,9418,55429.6875,6.55128477383733
Hermosa,2165,24144,39590.64327,8.96703114645461
Humboldt Park,5453,56427,35941.35802,9.66381342265228
Hyde Park,3602,26827,52627.11864,13.426771536139
Irving Park,8094,54606,59537.67123,14.8225469728601
Jefferson Park,2750,26808,71459.19421,10.2581319009251
Kenwood,2526,17189,44087.98283,14.6954447611845
Lake View,36259,100470,86118.62301,36.0893799144023
Lincoln Park,18874,67710,99684.56573,27.8747600059075
Lincoln Square,9320,41715,71736.93086,22.3420831835071
Logan Square,14267,73046,70338.93986,19.5315280781973
Lower West Side,5276,32888,42457.55518,16.0423254682559
McKinley Park,1945,15767,44904.21456,12.3358914187861
Montclare,709,13830,48122.3176,5.12653651482285
Morgan Park,1386,22394,58816.25442,6.18915781012771
Mount Greenwood,664,19277,94677.08333,3.44451937542149
Near North Side,15552,88893,93707.26029,17.4951908474233
Near South Side,4093,23620,94151.75613,17.3285351397121
Near West Side,8820,62872,80727.42475,14.0285023539891
New City,3051,39561,32861.79922,7.71214074467278
North Center,7049,35789,104351.2165,19.6959959764173
North Lawndale,3673,35947,26361.91199,10.2178206804462
North Park,1429,18842,56086.95652,7.58412058167923
Norwood Park,1912,37089,74069.37653,5.15516730027771
Oakland,774,6645,28291.45729,11.647855530474
O'Hare,972,12377,49294.87179,7.85327623818373
Portage Park,6128,64307,61392.54837,9.52928919091234
Pullman,854,6613,40662.05534,12.9139573567216
Riverdale,637,7394,13344.7099,8.61509331890722
Rogers Park,12738,55062,39106.1828,23.133921760924
Roseland,4248,42433,38685.63686,10.0110762849669
South Chicago,3475,28263,29580.68615,12.2952269751973
South Deering,955,14614,34093.75,6.53482961543725
South Lawndale,4115,74851,32896.0396,5.49758854257124
South Shore,7301,50418,24344.64405,14.4809393470586
The Loop,5423,35880,103336.2793,15.1142697881828
Uptown,15636,57973,49680.90452,26.9711762372139
Washington Heights,2439,27453,44706.60147,8.88427494262922
Washington Park,1228,11502,25384.61538,10.6764041036342
West Elsdon,1554,19237,54849.39759,8.0781826688153
West Englewood,2421,29929,28006.27943,8.08914430819606
West Garfield Park,1432,17163,23250,8.34352968595234
West Lawn,2019,33108,50497.88136,6.0982239942008
West Pullman,1796,27742,38144.49064,6.47393843270132
West Ridge,6268,76215,49855.33454,8.22410286688972
West Town,19672,84502,88761.04764,23.2799223687013
Woodlawn,2271,23268,25122.2597,9.76018566271274