NYC Zip Code,Similar LA Neighborhoods,Similar Chicago Neighborhoods
10001,,
10002,,
10003,,
10004,,
10005,,
10006,,
10007,,
10009,,
10010,,
10011,,
10012,,
10013,,
10014,,
10016,,
10017,,
10018,,
10020,,
10021,,
10022,,
10025,,
10028,,
10029,,
10035,,
10036,,
10038,,
10044,,
10065,,
10075,,
10110,,
10119,,
10128,,
10152,,
10154,,
10162,,
10165,,
10167,,
10168,,
10169,,
10170,,
10171,,
10172,,
10173,,
10174,,
10177,,
10199,Acton;Agoura Hills;Agua Dulce;Alhambra;Alondra Park;Altadena;Angeles Crest;Arcadia;Arleta;Artesia;Atwater Village;Avalon;Avocado Heights;Azusa;Baldwin Park;Bel-Air;Bell Gardens;Bellflower;Beverly Crest;Beverly Grove;Beverly Hills;Beverlywood;Bradbury;Brentwood;Burbank;Calabasas;Carson;Carthay;Castaic;Castaic Canyons;Century City;Cerritos;Charter Oak;Chatsworth;Chatsworth Reservoir;Cheviot Hills;Claremont;Commerce;Compton;Covina;Cudahy;Culver City;Del Aire;Diamond Bar;Downey;Duarte;Eagle Rock;East Compton;East La Mirada;East Pasadena;East San Gabriel;El Monte;El Segundo;Elizabeth Lake;Elysian Valley;Encino;Fairfax;Gardena;Glendale;Glendora;Gramercy Park;Granada Hills;Griffith Park;Hacienda Heights;Hancock Park;Harbor City;Harvard Park;Hawaiian Gardens;Hermosa Beach;Hidden Hills;Hollywood Hills;Hollywood Hills West;Industry;Irwindale;La Canada Flintridge;La Crescenta-Montrose;La Habra Heights;La Mirada;La Puente;La Verne;Ladera Heights;Lake Los Angeles;Lake View Terrace;Lakewood;Lancaster;Lawndale;Leona Valley;Lomita;Lynwood;Malibu;Manhattan Beach;Marina del Rey;Mayflower Village;Mid-Wilshire;Mission Hills;Monrovia;Montebello;Monterey Park;Mount Washington;North Whittier;Northeast Antelope Valley;Northridge;Northwest Antelope Valley;Northwest Palmdale;Norwalk;Pacific Palisades;Palmdale;Palos Verdes Estates;Paramount;Pasadena;Pico Rivera;Pico-Robertson;Playa del Rey;Playa Vista;Pomona;Porter Ranch;Quartz Hill;Ramona;Rancho Dominguez;Rancho Palos Verdes;Rancho Park;Redondo Beach;Reseda;Ridge Route;Rolling Hills;Rolling Hills Estates;Rosemead;Rowland Heights;San Dimas;San Fernando;San Gabriel;San Marino;San Pasqual;San Pedro;Santa Clarita;Santa Fe Springs;Santa Monica;Sepulveda Basin;Shadow Hills;Sherman Oaks;Sierra Madre;Signal Hill;South El Monte;South Pasadena;South San Gabriel;South San Jose Hills;South Whittier;Southeast Antelope Valley;Stevenson Ranch;Studio City;Sunland;Sylmar;Tarzana;Temple City;Toluca Lake;Topanga;Torrance;Tujunga;Tujunga Canyons;Unincorporated Catalina Island;Unincorporated Santa Monica Mountains;Unincorporated Santa Susana Mountains;Valinda;Valley Village;Venice;Vernon;View Park-Windsor Hills;Vincent;Walnut;West Carson;West Covina;West Hills;West Hollywood;West Los Angeles;West Puente Valley;West Whittier-Los Nietos;Westchester;Westlake Village;Westwood;Whittier;Whittier Narrows;Wilmington;Windsor Square;Winnetka,Dunning;East Side;Garfield Ridge;Montclare;Mount Greenwood;Norwood Park;South Lawndale;West Lawn
10271,,
10278,,
10279,,
11004,Central-Alameda;Downtown;Florence;Vermont Square,Albany Park;Avondale;Lower West Side;Near North Side;Near South Side
11101,,
11102,,
11103,,
11104,,
11105,,
11106,,
11109,,
11201,,
11203,,
11204,,
11205,,
11206,,
11207,,
11209,,
11210,,
11211,,
11212,,
11213,,
11214,,
11215,,
11216,,
11217,,
11218,,
11219,,
11220,,
11221,,
11222,,
11223,,
11224,,
11225,,
11226,,
11228,,
11229,,
11230,,
11231,,
11232,,
11233,,
11234,,
11235,,
11236,,
11237,,
11238,,
11354,,
11355,,
11356,Harvard Heights,
11357,,
11377,,
11378,,
11379,,
11385,,
11425,,
10019,,
10023,,
10024,,
10026,,
10027,,
10030,,
10031,,
10033,,
10034,,
10037,,
10039,,
10040,,
10069,,
10103,,
10153,,
10301,,
10302,Koreatown,
10303,,
10304,,
10305,,
10306,,Lincoln Park
10307,Exposition Park,Logan Square;North Center
10308,East Hollywood,
10309,Arlington Heights;Historic South-Central,Rogers Park;West Town
10310,,
10312,South Park,Lincoln Square
10314,,Uptown
10451,,
10452,,
10453,,
10454,,
10455,,
10456,,
10457,,
10458,,
10459,,
10460,,
10461,,
10462,,
10463,,
10464,Adams-Normandie,
10465,,
10466,,
10467,,
10468,,
10469,,
10470,,
10471,,
10472,,
10473,,
10474,,
10475,,
11208,,
11239,,
11358,,
11360,,Uptown
11361,,
11362,,Edgewater
11363,Veterans Administration,Lake View
11364,Pico-Union,
11365,,
11366,,
11367,,
11368,,
11369,,
11370,,
11371,,
11372,,
11373,,
11374,,
11375,,
11411,Westlake,
11412,,
11413,,
11414,,Lincoln Park
11415,,
11416,,
11417,,
11418,,
11419,,
11420,,
11421,,
11423,,
11426,,
11427,,
11428,,
11429,,
11430,,
11432,,
11433,,
11434,,
11435,,
11436,,
11451,,
11691,,
11692,,
11693,,
11694,,
11697,Athens;Baldwin Hills/Crenshaw;Bell;Boyle Heights;Broadway-Manchester;Canoga Park;Chesterfield Square;Chinatown;Citrus;Cypress Park;Del Rey;East Los Angeles;Echo Park;El Sereno;Elysian Park;Florence-Firestone;Glassell Park;Green Meadows;Harbor Gateway;Hawthorne;Highland Park;Hollywood;Huntington Park;Hyde Park;Inglewood;Jefferson Park;Lake Balboa;Larchmont;Leimert Park;Lennox;Lincoln Heights;Long Beach;Lopez/Kagel Canyons;Los Feliz;Manchester Square;Mar Vista;Maywood;Mid-City;Montecito Heights;North Hills;North Hollywood;Pacoima;Palms;Panorama City;Sawtelle;Silver Lake;South Gate;Sun Valley;University Park;Valley Glen;Van Nuys;Vermont Knolls;Vermont Vista;Vermont-Slauson;Walnut Park;Watts;West Adams;West Compton;Westmont;Willowbrook,Archer Heights;Armour Square;Ashburn;Auburn Gresham;Austin;Avalon Park;Belmont Cragin;Beverly;Bridgeport;Brighton Park;Burnside;Calumet Heights;Chatham;Chicago Lawn;Clearing;Douglas;East Garfield Park;Edison Park;Englewood;Forest Glen;Fuller Park;Gage Park;Grand Boulevard;Greater Grand Crossing;Hegewisch;Hermosa;Humboldt Park;Hyde Park;Irving Park;Jefferson Park;Kenwood;McKinley Park;Morgan Park;Near West Side;New City;North Lawndale;North Park;Oakland;O'Hare;Portage Park;Pullman;Riverdale;Roseland;South Chicago;South Deering;South Shore;The Loop;Washington Heights;Washington Park;West Elsdon;West Englewood;West Garfield Park;West Pullman;West Ridge;Woodlawn
