"numGeoids","profile","category","variable","estimate","percent","comparison_estimate","comparison_percent","difference_estimate","difference_percent"
"","decennial","asian_subgroup","asnalnorc","11198","1","1134919","1","-1123721","0"
"","decennial","asian_subgroup","asnalone","9990","0.892123593498839","1038388","0.914944590759341","-1028398","-2.2820997260502054"
"","decennial","asian_subgroup","asnincombo","1208","0.107876406501161","96531","0.0850554092406595","-95323","2.2820997260501485"
"","decennial","asian_subgroup","asnind","3271","0.292105733166637","192209","0.169359222993007","-188938","12.274651017362999"
"","decennial","asian_subgroup","bgldsh","1584","0.141453831041257","53174","0.04685268287869","-51590","9.4601148162567"
"","decennial","asian_subgroup","cambdn","2","0.00017860332202179","2166","0.00190850624582019","-2164","-0.17299029237984"
"","decennial","asian_subgroup","chinese","2985","0.266565458117521","486463","0.428632351736115","-483478","-16.206689361859397"
"","decennial","asian_subgroup","filipino","968","0.0864440078585462","67292","0.0592923371623878","-66324","2.7151670696158394"
"","decennial","asian_subgroup","indonsn","43","0.00383997142346848","3785","0.00333503976935799","-3742","0.050493165411049035"
"","decennial","asian_subgroup","japanese","19","0.001696731559207","24277","0.0213909538918636","-24258","-1.9694222332656601"
"","decennial","asian_subgroup","korean","69","0.00616181460975174","96741","0.0852404444722487","-96672","-7.907862986249697"
"","decennial","asian_subgroup","mlysn","10","0.000893016610108948","2100","0.00185035231589215","-2090","-0.0957335705783202"
"","decennial","asian_subgroup","oasnalone","419","0.0374173959635649","45155","0.0397869803924333","-44736","-0.2369584428868401"
"","decennial","asian_subgroup","pak","434","0.0387569208787283","41887","0.0369074797408449","-41453","0.18494411378833986"
"","decennial","asian_subgroup","slkn","53","0.00473298803357742","3696","0.00325662007597018","-3643","0.14763679576072403"
"","decennial","asian_subgroup","thai","18","0.00160742989819611","6056","0.00533606363097278","-6038","-0.37286337327766705"
"","decennial","asian_subgroup","vietnms","115","0.0102696910162529","13387","0.0117955554537372","-13272","-0.1525864437484301"
"","decennial","hispanic_subgroup","arg","205","0.00676433709496469","15169","0.0064933675103036","-14964","0.027096958466109045"
"","decennial","hispanic_subgroup","bol","119","0.00392661519171121","4488","0.0019211703728817","-4369","0.20054448188295096"
"","decennial","hispanic_subgroup","cam","2137","0.0705140896192173","151378","0.0648001178043865","-149241","0.5713971814830794"
"","decennial","hispanic_subgroup","chi","144","0.00475153434963374","7026","0.00300760762920384","-6882","0.17439267204299003"
"","decennial","hispanic_subgroup","col","2438","0.0804461162806045","94723","0.0405479102563444","-92285","3.9898206024260103"
"","decennial","hispanic_subgroup","cric","66","0.00217778657691546","6673","0.00285649953169332","-6607","-0.067871295477786"
"","decennial","hispanic_subgroup","cub","264","0.00871114630766185","40840","0.0174823079386116","-40576","-0.8771161630949751"
"","decennial","hispanic_subgroup","dom","7281","0.240249455553356","576701","0.246867396437445","-569420","-0.6617940884089037"
"","decennial","hispanic_subgroup","ecu","4110","0.135616709562463","167209","0.0715768665060555","-163099","6.403984305640749"
"","decennial","hispanic_subgroup","guat","433","0.0142875998152181","30420","0.0130218366183292","-29987","0.12657631968888983"
"","decennial","hispanic_subgroup","hon","438","0.0144525836468026","42400","0.0181500944318592","-41962","-0.3697510785056599"
"","decennial","hispanic_subgroup","hsp2","30306","1","2336076","1","-2305770","0"
"","decennial","hispanic_subgroup","mex","2578","0.0850656635649706","319263","0.136666358457516","-316685","-5.160069489254541"
"","decennial","hispanic_subgroup","nic","141","0.00465254405068303","9346","0.00400072600377727","-9205","0.065181804690576"
"","decennial","hispanic_subgroup","oca","5","0.000164983831584505","1627","0.000696467066996108","-1622","-0.0531483235411603"
"","decennial","hispanic_subgroup","ohsp","2279","0.0751996304362172","180805","0.0773968826356677","-178526","-0.21972521994505012"
"","decennial","hispanic_subgroup","osa","76","0.00250775424008447","2678","0.00114636681340847","-2602","0.1361387426676"
"","decennial","hispanic_subgroup","pan","128","0.00422358608856332","22353","0.00956860992536202","-22225","-0.53450238367987"
"","decennial","hispanic_subgroup","par","58","0.00191381244638025","3534","0.00151279324816487","-3476","0.04010191982153799"
"","decennial","hispanic_subgroup","per","1246","0.0411139708308586","36018","0.0154181627652525","-34772","2.5695808065606096"
"","decennial","hispanic_subgroup","pr","7157","0.23615785653006","723621","0.309759185916897","-716464","-7.360132938683698"
"","decennial","hispanic_subgroup","sam","8610","0.284102157988517","343468","0.147027750809477","-334858","13.707440717904003"
"","decennial","hispanic_subgroup","slv","926","0.0305550056094503","38559","0.0165058842263693","-37633","1.4049121383080998"
"","decennial","hispanic_subgroup","uru","78","0.00257374777271827","3004","0.00128591706776663","-2926","0.12878307049516402"
"","decennial","hispanic_subgroup","ven","136","0.00448756021909853","9619","0.00411758864009561","-9483","0.036997157900291955"
"","decennial","household_size","hh1person","3010","0.177027583367641","995755","0.320200695611013","-992745","-14.317311224337203"
"","decennial","household_size","hh2ppl","3761","0.221196259483621","858781","0.276154549640747","-855020","-5.495829015712594"
"","decennial","household_size","hh3ppl","3241","0.190613421160972","496643","0.159703374896777","-493402","3.0910046264194975"
"","decennial","household_size","hh4ppl","2973","0.174851496794683","377689","0.121451843600713","-374716","5.339965319397001"
"","decennial","household_size","hh5ppl","1949","0.114626830559313","198515","0.063835623310172","-196566","5.079120724914102"
"","decennial","household_size","hh6ppl","998","0.0586955243192378","92634","0.0297879209617131","-91636","2.89076033575247"
"","decennial","household_size","hh7plppl","1071","0.0629888843145327","89767","0.0288659919788641","-88696","3.41228923356686"
"","decennial","household_size","ochu_4","17003","1","3109784","1","-3092781","0"
"","decennial","household_type_","fam","13140","0.772804799153091","1850221","0.594967689074225","-1837081","17.783711007886595"
"","decennial","household_type_","femnhsb","3514","0.206669411280362","581745","0.187069262688341","-578231","1.9600148592020972"
"","decennial","household_type_","fmrelchu18","7500","0.441098629653591","948747","0.305084533202306","-941247","13.601409645128498"
"","decennial","household_type_","fnhrchu18","2172","0.12774216314768","343280","0.110387087977815","-341108","1.7355075169864982"
"","decennial","household_type_","hh","17003","1","3109784","1","-3092781","0"
"","decennial","household_type_","hhwind65p","3980","0.234076339469505","763496","0.245514157896497","-759516","-1.1437818426991981"
"","decennial","household_type_","hhwindu18","7593","0.446568252661295","959122","0.308420777777492","-951529","13.814747488380302"
"","decennial","household_type_","malenwf","1443","0.0848673763453508","170606","0.0548610450114863","-169163","3.00063313338645"
"","decennial","household_type_","mcfm","8183","0.481268011527378","1097870","0.353037381374398","-1089687","12.823063015298004"
"","decennial","household_type_","mcfmrchu18","4615","0.271422690113509","529522","0.17027613493413","-524907","10.114655517937901"
"","decennial","household_type_","mnwrchu18","713","0.0419337763924013","75945","0.024421310290361","-75232","1.75124661020403"
"","decennial","household_type_","nfamhh","3863","0.227195200846909","1259563","0.405032310925775","-1255700","-17.783711007886602"
"","decennial","household_type_","nflval65p","987","0.0580485796624125","310684","0.0999053310455003","-309697","-4.185675138308779"
"","decennial","household_type_","nfmlvgaln","3010","0.177027583367641","995755","0.320200695611013","-992745","-14.317311224337203"
"","decennial","housing_occupancy","hmownrvcrt","2.8104494242912","","2.88326832943512","","-0.07281890514391964","0"
"","decennial","housing_occupancy","hunits","18275","1","3371062","1","-3352787","0"
"","decennial","housing_occupancy","ochu_1","17003","0.930396716826265","3109784","0.922493860985055","-3092781","0.7902855841209941"
"","decennial","housing_occupancy","oochu1","7850","0","962892","0","-955042","0"
"","decennial","housing_occupancy","rntvcrt","5.58077161130596","","4.53734969545571","","1.0434219158502502","0"
"","decennial","housing_occupancy","rochu_3","9153","0","2146892","0","-2137739","0"
"","decennial","housing_occupancy","vachus","1272","0.0696032831737346","261278","0.0775061390149454","-260006","-0.7902855841210794"
"","decennial","housing_occupancy","vhufrnt","541","0.0296032831737346","102042","0.0302699861349331","-101501","-0.0666702961198502"
"","decennial","housing_occupancy","vhufslo","227","0.012421340629275","28587","0.00848011694830887","-28360","0.39412236809661294"
"","decennial","housing_occupancy","vhufsroou","63","0.00344733242134063","39793","0.0118042919412339","-39730","-0.835695951989327"
"","decennial","housing_occupancy","vhuothvc","374","0.0204651162790698","77060","0.0228592651217925","-76686","-0.2394148842722701"
"","decennial","housing_occupancy","vhurosnoc","67","0.00366621067031464","13796","0.00409247886867699","-13729","0"
"","decennial","housing_tenure","avhhszooc","3.55783439490446","","2.75068958927896","","0.8071448056255002","0"
"","decennial","housing_tenure","avhhszroc","3.13372664700098","","2.48777581732104","","0.6459508296799403","0"
"","decennial","housing_tenure","ochu_2","17003","1","3109784","1","-3092781","0"
"","decennial","housing_tenure","oochu","7850","0.461683232370758","962892","0.309633080625535","-955042","15.205015174522295"
"","decennial","housing_tenure","popoochu","27929","0","2648617","0","-2620688","0"
"","decennial","housing_tenure","poprochu","28683","0","5340986","0","-5312303","0"
"","decennial","housing_tenure","rochu_1","9153","0.538316767629242","2146892","0.690366919374465","-2137739","-15.205015174522309"
"","decennial","mutually_exclusive_race___hispanic_origin","anh","9856","0.173906906165085","1028119","0.125761746016854","-1018263","4.8145160148231"
"","decennial","mutually_exclusive_race___hispanic_origin","bnh","3458","0.0610156332709885","1861295","0.227677641452439","-1857837","-16.66620081814505"
"","decennial","mutually_exclusive_race___hispanic_origin","hsp1","30306","0.534742562727176","2336076","0.285753883147834","-2305770","24.898867957934204"
"","decennial","mutually_exclusive_race___hispanic_origin","onh","1644","0.0290080107280234","78063","0.00954883547460329","-76419","1.9459175253420113"
"","decennial","mutually_exclusive_race___hispanic_origin","pop3","56674","1","8175133","1","-8118459","0"
"","decennial","mutually_exclusive_race___hispanic_origin","twoplnh","1612","0.0284433779157991","148676","0.0181863707905425","-147064","1.0257007125256599"
"","decennial","mutually_exclusive_race___hispanic_origin","wnh","9798","0.172883509192928","2722904","0.333071523117728","-2713106","-16.018801392479997"
"","decennial","population_density","landacres","853.08","0","193691.68","0","-192838.6","0"
"","decennial","population_density","pop1","56674","1","8175133","1","-8118459","0"
"","decennial","population_density","popperacre","66.4345665119332","","42.2069393997718","","24.2276271121614","0"
"","decennial","relationship_to_head_of_household__householder_","avgfamsz","3.71719939117199","","3.32030552025947","","0.3968938709125198","0"
"","decennial","relationship_to_head_of_household__householder_","avghhsz","3.32953008292654","","2.56918261847125","","0.7603474644552901","0"
"","decennial","relationship_to_head_of_household__householder_","fam1","13140","0","1850221","0","-1837081","0"
"","decennial","relationship_to_head_of_household__householder_","grndchu18","1379","0.0994017155626036","165859","0.0938057621947943","-164480","0.5595953367809301"
"","decennial","relationship_to_head_of_household__householder_","hh1","17003","0","3109784","0","-3092781","0"
"","decennial","relationship_to_head_of_household__householder_","hhldr","13140","0.231852348519603","1850221","0.226323045753506","-1837081","0.5529302766097004"
"","decennial","relationship_to_head_of_household__householder_","hhldru18","4","0.000288329849347654","1182","0.00066851006526174","-1178","0"
"","decennial","relationship_to_head_of_household__householder_","ifhhldr65p","1540","0.300722515133763","304001","0.30609530407045","-302461","-0.5372788936686987"
"","decennial","relationship_to_head_of_household__householder_","ifnrel65p","94","0.0183557898847881","9757","0.00982421729473055","-9663","0.853157259005755"
"","decennial","relationship_to_head_of_household__householder_","iforel65p","1500","0.292911540714704","132054","0.132963737894675","-130554","15.994780282002898"
"","decennial","relationship_to_head_of_household__householder_","ifsps65p","822","0.160515524311658","158399","0.159490232168497","-157577","0.10252921431609963"
"","decennial","relationship_to_head_of_household__householder_","infhhlr65p","1063","0.207576645186487","331560","0.333844161754726","-330497","-12.626751656823895"
"","decennial","relationship_to_head_of_household__householder_","inflval65p","987","0.192735793790275","310684","0.312824344162762","-309697","-12.0088550372487"
"","decennial","relationship_to_head_of_household__householder_","infmhh65p","3956","0.772505370044913","604211","0.608373491428353","-600255","16.413187861656013"
"","decennial","relationship_to_head_of_household__householder_","infnrel65p","84","0.0164030462800234","16327","0.0164394789147346","-16243","0"
"","decennial","relationship_to_head_of_household__householder_","ingq65p","18","0.00351493848857645","41060","0.0413428679021868","-41042","-3.782792941361035"
"","decennial","relationship_to_head_of_household__householder_","ingqu18","0","0","12825","0.00725350388069527","-12825","-0.725350388069527"
"","decennial","relationship_to_head_of_household__householder_","ingrpqtrs","62","0.00109397607368458","185530","0.0226944320049594","-185468","-2.160045593127482"
"","decennial","relationship_to_head_of_household__householder_","innfmhh65p","1147","0.22397969146651","347887","0.35028364066946","-346740","-12.630394920294997"
"","decennial","relationship_to_head_of_household__householder_","instgq65p","0","0","35026","0.0352672988587919","-35026","-3.52672988587919"
"","decennial","relationship_to_head_of_household__householder_","institlzd","0","0","70041","0.00856756703530083","-70041","-0.8567567035300829"
"","decennial","relationship_to_head_of_household__householder_","nfhhldr","3863","0.0681617673007023","1259563","0.154072478086901","-1255700","-8.59107107861987"
"","decennial","relationship_to_head_of_household__householder_","nfnonrel","1330","0.0234675512580725","352738","0.04314767723045","-351408","-1.9680125972377507"
"","decennial","relationship_to_head_of_household__householder_","nfunmptnr","375","0.00661679076825352","114403","0.0139940230941809","-114028","-0.7377232325927381"
"","decennial","relationship_to_head_of_household__householder_","nonfamhh","5193","0.0916293185587747","1612301","0.197220155317351","-1607108","-10.55908367585763"
"","decennial","relationship_to_head_of_household__householder_","nonrel","2575","0.0454352966086742","234003","0.0286237545003855","-231428","1.6811542108288697"
"","decennial","relationship_to_head_of_household__householder_","nonrelu18","266","0.019173934981619","24617","0.0139227684234757","-24351","0.5251166558143301"
"","decennial","relationship_to_head_of_household__householder_","nrelumptnr","836","0.0147510322193598","86629","0.0105966471738136","-85793","0.41543850455462006"
"","decennial","relationship_to_head_of_household__householder_","ocinfhhu18","2920","0.210480790023787","467053","0.264153664560653","-464133","-5.367287453686597"
"","decennial","relationship_to_head_of_household__householder_","ocinmcfu18","7577","0.546168817126793","927417","0.524524195596317","-919840","2.1644621530476016"
"","decennial","relationship_to_head_of_household__householder_","ocinofu18","3813","0.274850428890651","559529","0.316455810749438","-555716","-4.160538185878703"
"","decennial","relationship_to_head_of_household__householder_","orelu18","2213","0.159518489151589","242541","0.137175211284812","-240328","2.2343277866776994"
"","decennial","relationship_to_head_of_household__householder_","othrrel","16131","0.284627871687193","1708262","0.208958312971789","-1692131","7.566955871540401"
"","decennial","relationship_to_head_of_household__householder_","ownchu18","11390","0.821019246017444","1486946","0.840980006345755","-1475556","-1.9960760328310982"
"","decennial","relationship_to_head_of_household__householder_","owncu18","11390","0.200973991601087","1486946","0.181886459828849","-1475556","1.908753177223801"
"","decennial","relationship_to_head_of_household__householder_","pop4","56674","1","8175133","1","-8118459","0"
"","decennial","relationship_to_head_of_household__householder_","pop65pl_2","5121","1","993158","1","-988037","0"
"","decennial","relationship_to_head_of_household__householder_","popinfam","48844","0","6143299","0","-6094455","0"
"","decennial","relationship_to_head_of_household__householder_","popinfhh","51419","0.907276705367541","6377302","0.78008541267769","-6325883","12.7191292689851"
"","decennial","relationship_to_head_of_household__householder_","popinhh","56612","0.998906023926315","7989603","0.977305567995041","-7932991","2.160045593127407"
"","decennial","relationship_to_head_of_household__householder_","popu18_2","13873","1","1768111","1","-1754238","0"
"","decennial","relationship_to_head_of_household__householder_","spouse","8183","0.144387196950983","1097870","0.13429383962316","-1089687","1.0093357327823025"
"","decennial","sex_and_age","fem","28653","0.505575749020715","4292589","0.525078796883182","-4263936","-1.9503047862467042"
"","decennial","sex_and_age","male","28021","0.494424250979285","3882544","0.474921203116818","-3854523","1.9503047862466971"
"","decennial","sex_and_age","mdage","34.5","","35.5","","-1","0"
"","decennial","sex_and_age","pop10t14","3983","0.0702791403465434","468154","0.0572656126817753","-464171","1.3013527664768096"
"","decennial","sex_and_age","pop15t19","4395","0.0775487878039313","535833","0.0655442547540205","-531438","1.2004533049910808"
"","decennial","sex_and_age","pop2","56674","1","8175133","1","-8118459","0"
"","decennial","sex_and_age","pop20t24","4584","0.080883650351131","642585","0.0786023909335787","-638001","0.2281259417552297"
"","decennial","sex_and_age","pop21pl","40036","0.706426227194128","6059847","0.741253628534239","-6019811","-3.4827401340111095"
"","decennial","sex_and_age","pop25t29","4392","0.0774958534777852","730190","0.0893184245442857","-725798","-1.1822571066500487"
"","decennial","sex_and_age","pop30t34","4138","0.0730140805307548","662255","0.0810084679967898","-658117","-0.7994387466035002"
"","decennial","sex_and_age","pop35t39","4170","0.0735787133429791","587407","0.0718528982953549","-583237","0.1725815047624195"
"","decennial","sex_and_age","pop40t44","4367","0.077054734093235","567280","0.0693909200009345","-562913","0.7663814092300507"
"","decennial","sex_and_age","pop45t49","4388","0.0774252743762572","565692","0.0691966723966448","-561304","0.8228601979612398"
"","decennial","sex_and_age","pop50t54","3962","0.0699086000635212","541684","0.0662599617645364","-537722","0.3648638298984803"
"","decennial","sex_and_age","pop55t59","3270","0.0576984154991707","475535","0.058168472610782","-472265","0"
"","decennial","sex_and_age","pop5t9","3642","0.0642622719412782","473159","0.0578778351373611","-469517","0.6384436803917106"
"","decennial","sex_and_age","pop60t64","2621","0.0462469562762466","414477","0.0506997256191428","-411856","-0.44527693428962056"
"","decennial","sex_and_age","pop62pl","6568","0.115890884709038","1228851","0.150315719634164","-1222283","-3.4424834925126007"
"","decennial","sex_and_age","pop65pl_1","5121","0.0903588947312701","993158","0.121485240668256","-988037","-3.1126345936985906"
"","decennial","sex_and_age","pop65plf","2991","0.0527755231675901","598318","0.0731875554807487","-595327","-2.04120323131586"
"","decennial","sex_and_age","pop65plm","2130","0.03758337156368","394840","0.048297685187507","-392710","-1.0714313623827003"
"","decennial","sex_and_age","pop65t69","1796","0.0316900165860889","297167","0.0363501119798296","-295371","-0.4660095393740695"
"","decennial","sex_and_age","pop70t74","1199","0.0211560856830293","234294","0.0286593502515494","-233095","-0.7503264568520098"
"","decennial","sex_and_age","pop75t79","789","0.0139217277764054","178019","0.0217756701939895","-177230","-0.7853942417584099"
"","decennial","sex_and_age","pop80t84","651","0.0114867487736881","142272","0.0174030196205982","-141621","-0.5916270846910099"
"","decennial","sex_and_age","pop85pl","686","0.0121043159120584","141406","0.0172970886222891","-140720","-0.51927727102307"
"","decennial","sex_and_age","popu18_1","13873","0.244785968874616","1768111","0.21627917246117","-1754238","2.850679641344602"
"","decennial","sex_and_age","popu5","3641","0.0642446271658962","517724","0.0633291225965376","-514083","0.09155045693585961"
"","decennial","tenure_by_age_of_householder","hhr15t24","502","0.0295242016114803","119317","0.038368259660478","-118815","-0.88440580489977"
"","decennial","tenure_by_age_of_householder","hhr25t34","2601","0.152973004763865","583537","0.187645508498339","-580936","-3.467250373447399"
"","decennial","tenure_by_age_of_householder","hhr35t44","3952","0.232429571252132","609384","0.195957018236636","-605432","3.6472553015496025"
"","decennial","tenure_by_age_of_householder","hhr45t54","4310","0.253484679174263","630949","0.20289158346689","-626639","5.059309570737298"
"","decennial","tenure_by_age_of_householder","hhr55t64","3035","0.178497912133153","531036","0.170762985467801","-528001","0.7734926665351978"
"","decennial","tenure_by_age_of_householder","hhr65t74","1454","0.0855143210021761","332966","0.107070458912902","-331512","-2.1556137910725894"
"","decennial","tenure_by_age_of_householder","hhr75p","1149","0.0675763100629301","302595","0.0973041857569529","-301446","-2.9727875694022803"
"","decennial","tenure_by_age_of_householder","hhr85p","397","0.0233488207963301","92439","0.0297252156419867","-92042","-0.6376394845656601"
"","decennial","tenure_by_age_of_householder","ochu_3","17003","1","3109784","1","-3092781","0"
"","decennial","tenure_by_age_of_householder","rntr15t24","418","0.0245838969593601","110283","0.0354632347455643","-109865","-1.0879337786204202"
"","decennial","tenure_by_age_of_householder","rntr25t34","1944","0.114332764806211","494643","0.159060243412404","-492699","-4.4727478606193"
"","decennial","tenure_by_age_of_householder","rntr35t44","2424","0.14256307710404","439197","0.141230709271126","-436773","0.13323678329140165"
"","decennial","tenure_by_age_of_householder","rntr45t54","2191","0.128859613009469","412123","0.132524638367166","-409932","-0.3665025357696994"
"","decennial","tenure_by_age_of_householder","rntr55t64","1282","0.0753984590954537","316607","0.101809964936471","-315325","-2.64115058410173"
"","decennial","tenure_by_age_of_householder","rntr65t74","538","0.0316414750338176","196380","0.0631490804506036","-195842","-3.150760541678601"
"","decennial","tenure_by_age_of_householder","rntr75p","356","0.0209374816208904","177659","0.0571290481911284","-177303","-3.6191566570238"
"","decennial","tenure_by_age_of_householder","rntr85p","115","0.00676351232135505","55448","0.0178301772727624","-55333","-1.1066664951407348"
"","decennial","tenure_by_age_of_householder","rochu_2","9153","0.538316767629242","2146892","0.690366919374465","-2137739","-15.205015174522309"
